noi_dung_binh_luan,id,sentiment
dễ_dàng thoải_mái thư_giãn,1,Positive
dãng thoải_mái thư_giãn,2,Positive
thích hasaki sản_phẩm tẩy,3,Positive
sản_phẩm khả_năng sạch tốt lớp mắt môi_chóng loại_bỏ bông_tẩy toàn_bộ bụi bẩn dầu_thừa lớp đi cực_kỳ tiết_kiệm kích_ứng sản_phẩm sạch mà_còn dịu giúp ngứa_ngáy,4,Positive
sữa rửa mặt tốt sạch mụn mịn,5,Positive
dòng srm chân_ái tuyp thử nhờn khô_hở tí nổi mụn,7,Positive
sài bha obagi đổi thử_sài plc hasaki hàng kèm quà tặng quà trừ tiền sản_phẩm,8,Positive
xài,9,Positive
ứng_không_hợp sản_phẩm,10,Positive
tư_vấn train đẹp á_hỏi sản_phẩm dán mụn trả_lời tè sản_phẩm không_như,11,Positive
mùi thơm_dịu mát thư_giãn,12,Positive
khum vụ nâng tông trắng lắm chỉnh tông chống nắng làm_lót phê_hợp kiểu đồ đi học đi tự_nhiên dày mặt,13,Positive
sánh bnbg nhma ẩm_không_tốt bnbg tốt tầm_giá dầu ẩm thoải_mái treat mặt_nạ,14,Positive
mỏng thấm tẩy toner nhũn liền mặt tưa sản_phẩm đáp_ứng cầu tốt,15,Negative
xài tốt_tẩy sạch xài thích nước_tẩy loreal inisfre mùi hóa học không_bị_châm chích xài trôi chùi sạch lợi rửa mặt,16,Positive
hơi bết trắng,17,Positive
sản_phẩm tốt,18,Positive
kiểu tiền nấy_xài tẩy hàng hơi,19,Positive
rít mặt đắp xomg rôid dưỡng đó_nhiên mask tốt_đắp không_bị_kích_ứng,20,Positive
tiền,23,Positive
mùi tự_nhiên hạt nhẹ không_rát không_kích_ứng mỏng xài thử tuýp bé tí_í giùm mỏi mắt,24,Positive
sạch không_bị khô sạch dầu,25,Positive
trời stres làn xài hiệu_quả trông,26,Positive
quan_điểm sản_phẩm tích giá rẻ_hợp học_viên đơn_giản sạch sản_phẩm mùi thơm nhạy_cảm hương_liệu cân_nhắc sữa rửa mặt bọt mịn,27,Positive
viền_sắc rát_mặt xước mặt,29,Negative
hàng chuẩn hàng đắp thích mướt mịn hẳn,30,Positive
chống nắng ưng tệp màu tán không_bị trôi đổ mồ_hôi,31,Positive
dầu không_bị khô mặt sạch hẳn sản_phẩm cũ,32,Positive
nhạy_cảm hỗn_hợp thiên_khô xài êm không_kích_ứng nâng tone một_chút tự_nhiên mỏng nhẹ không_nặng mặt mắt,33,Positive
hài_lòng dưỡng tốt,34,Positive
sản_phẩm,35,Positive
mùi hương dễ_chịu mát giá_thành,36,Positive
kiểu tách á_loại thời_tiết lạnh ổn dầu mụn xài típ quây dưỡng ổn,37,Positive
tốt đường viền chắn chắn không_xơ tưa mềm,39,Positive
dạng sữa thắm hơi rửa mặt xài,40,Negative
thử cực_cực cực_kì hài_lòng sản_phẩm chống nắng tốt nâng tông không_gây khó_chịu làn khô hơi nhạy_cảm mụn tốt,42,Positive
liên_tục sản_phẩm vòng quan_sát kĩ cải_thiện rõ_rệt chân nám mờ dần đi hẳn texture_lỏng nhẹ thấm cực_kì nhẹ cực_kì thích packaging_thủy nặng_thông đầy_đủ tiết cộng trừ hị_hị yêu thích_dưỡng trắng thâm_nám nhẹ thường_xuyên hẳn,43,Positive
thích hasaki sản_phẩm tẩy,44,Positive
dễ_dàng thoải_mái thư_giãn,46,Positive
sản_phẩm bì đẹp thấm tông trắng lọ tông hẳn màu kèm ẩm tốt,47,Positive
tẩy tốt quà tặng kèm chưng,48,Positive
lọ_dưỡng ẩm xài hủ_thấm ghê,49,Positive
khô_nhiên vichy_dưỡng ẫm_serum bình_thường dễ_tán laroch cũ nâng tông tầm nửa_tông khô bôi hơi ẩm_không_bị khô căng,50,Positive
thích hasaki sản_phẩm tẩy,51,Positive
bộ_tế sản_phẩm click hasaki gửi khảo sản_phẩm hãng,52,Positive
truóc ổn lắm mùi cồn nồng_nặc,54,Positive
hợp dầu mắc,55,Positive
dầu nổi mụn cerave foaming_năng item không_chăm đi bác_sĩ khuyên,56,Positive
chống nắng giá bình_dân tán nâng toner nhẹ tự_nhiên,57,Positive
bàn_thích dịch_vụ hàng hasaki dịch hàng tỉnh,58,Positive
cực thích dịu nhẹ hợp tẩy mỏng nhẹ dày lì nhớ_tẩy,59,Positive
sản_phẩm dầu dầu mụn cân_nhắc chăm_sóc thuốc đặc_trị mụn bôi ẩm lâu_thấm cực_kì tối bôi lớp mỏng thôi_tóm_lại dầu mụn,60,Negative
sản_phẩm tốt quà tặng tưởng,61,Positive
dầu rửa mặt dầu cetaphil tiết_kiệm hợp_lý cetaphil tích tương_đương,62,Positive
tẩy sạch lớp dầu ẩm không_bị khô,63,Positive
hợp bọt siêu_thích giá,64,Positive
cực thích srm xài lâu_dài,65,Positive
mùi trái_cây thơm nhẹ_tẩy chết dịu nhẹ không_làm khô giá_cả,66,Positive
kích_ứng alcohol tẩy êm_tẩy chống nắng lớp sạch,67,Positive
acne đóng_gói kỹ hàng tiếc lỡ chất_lượng mụn giải_quyết dầu nhờn thâm_lỗ chân_lông,68,Positive
tẩy xài thích,69,Positive
giàng thoải_mái thư_giản,70,Positive
vichy thích lám_mát cự_kỳ thấm cảm_giác khô_thoáng nhẹ,71,Positive
mặt nhạy_cảm mask cực_hợp tiếc mask hàng chờ_đợi mãi chưa_thấy_mask hàng hasaki mẫu mask,72,Positive
môi thâm sản_phẩm thời không_đổi,73,Positive
đi_lại mãi hoài không_thôi,74,Positive
tặng bông_tẩy hàng tặng rửa mặt,75,Positive
ẩm_ổn vết thâm mờ tốt thâm cũ chưa_thấy mờ,76,Negative
sản_phẩm siêu_cấp nhạy_cảm kcn kích_ứng lập_tức rửa mặt sản_phẩm không_hề lọ mụn lớp đẹp mặt không_vân_không_dễ trôi đi mồ_hôi trôi sạch không_đổ mồ_hôi sản_phẩm mùi cồn mắt ưng sản_phẩm vô_cùng làn mụn tẩy kỹ,77,Positive
nắp hồng_dịu nhẹ lành_tính lắm,78,Positive
